"nest_no","FTSA10_2","PF3OUDS11CL","FTSA4_2","DIPAP6_2","FTSA6_2","DIPAP8_2","FTSA8_2","CL_9PF3ONS","DONA","FOSA","N_ETFOSA","N_ETFOSAA","N_ETFOSE","N_MEFOSA","N_MEFOSAA","N_MEFOSE","PFBA","PFBS","PFDA","PFDOA","PFDS","PFHPA","PFHPS","PFHXA","PFHXDA","PFHXS","PFMBA","PFMPA","PFNA","PFNS","PFOA","PFODA","PFOS","PFPEA","PFPES","PFTEDA","PFTRDA","PFUNDA","PFEESA","PFDoS","ADONA","HFPO.DA","NFDHA","X3.3FTCA","X5.3FTCA","X6.2FTS","X7.3FTCA","TOTAL_PFAS"
"GR-91a","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","1.903 (1.837–1.969)","0 (0–0)","0 (0–0)","1.595 (1.435–1.755)","0 (0–0)","0.538 (0.478–0.598)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.043 (0.037–0.049)","0 (0–0)","5.767 (5.397–6.137)","2.974 (2.881–3.067)","1.331 (0.488–2.175)","0 (0–0)","0.642 (0.574–0.711)","0.016 (0.015–0.018)","NaN (Inf–-Inf)","0.373 (0.341–0.405)","0 (0–0)","0 (0–0)","2.194 (2.079–2.308)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","182.485 (166.6–198.37)","0 (0–0)","0 (0–0)","0.8 (0.787–0.814)","2.044 (1.875–2.213)","5.309 (5.07–5.547)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.257 (0.187–0.327)","0 (0–0)","0.258 (0–0.516)","208.53 (191.128–225.932)"
"IO-20","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","2.243 (1.924–2.483)","0 (0–0)","0 (0–0)","1.631 (1.526–1.697)","0 (0–0)","1.023 (0.906–1.247)","0 (0–0)","0 (0–0)","0.04 (0–0.121)","0 (0–0)","0.102 (0.049–0.189)","0 (0–0)","8.412 (8.187–8.676)","4.101 (4.001–4.228)","2.939 (0.859–4.217)","0 (0–0)","0.932 (0.843–0.979)","0.022 (0–0.043)","NaN (Inf–-Inf)","0.429 (0.412–0.461)","0 (0–0)","0 (0–0)","2.944 (2.84–3.107)","0.098 (0–0.295)","0.091 (0–0.272)","NaN (Inf–-Inf)","259.983 (253.02–271.6)","0 (0–0)","0 (0–0)","1.096 (1.042–1.133)","2.291 (2.274–2.307)","7.033 (6.946–7.141)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.608 (0.45–0.777)","0 (0–0)","0.685 (0.572–0.754)","296.704 (289.789–310.165)"
"IO-21","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","1.712 (1.519–1.906)","0 (0–0)","0 (0–0)","2.462 (2.288–2.636)","0 (0–0)","1.504 (1.317–1.692)","0 (0–0)","0 (0–0)","0.074 (0–0.148)","0 (0–0)","0.084 (0.056–0.113)","0 (0–0)","6.97 (6.548–7.391)","3.375 (3.338–3.413)","1.784 (0.551–3.017)","0 (0–0)","1.202 (1.036–1.368)","0.021 (0.018–0.024)","NaN (Inf–-Inf)","0.95 (0.891–1.008)","0 (0–0)","0 (0–0)","3.072 (2.978–3.165)","0 (0–0)","0.354 (0.339–0.369)","NaN (Inf–-Inf)","248.64 (229.22–268.06)","0 (0–0)","0 (0–0)","0.861 (0.853–0.869)","1.815 (1.756–1.874)","5.159 (4.888–5.43)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.534 (0.493–0.576)","0 (0–0)","0.724 (0.645–0.803)","281.298 (262.604–299.992)"
"IO-26","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","1.764 (1.74–1.788)","0 (0–0)","0 (0–0)","2.082 (2.082–2.083)","0 (0–0)","0.885 (0.825–0.946)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.184 (0.157–0.21)","0 (0–0)","6.271 (6.152–6.391)","3.303 (3.277–3.328)","1.226 (0.759–1.693)","0 (0–0)","1.211 (1.151–1.271)","0.034 (0.027–0.042)","NaN (Inf–-Inf)","0.73 (0.669–0.791)","0 (0–0)","0 (0–0)","2.992 (2.961–3.024)","0.154 (0–0.309)","0.512 (0.456–0.568)","NaN (Inf–-Inf)","269.01 (254.71–283.31)","0 (0–0)","0 (0–0)","0.78 (0.76–0.8)","1.87 (1.77–1.971)","5.149 (5.048–5.249)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.416 (0.408–0.424)","0 (0–0)","0.726 (0.643–0.808)","299.3 (285.46–313.141)"
"JU-14","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","3.736 (3.736–3.736)","0 (0–0)","0 (0–0)","5.573 (5.573–5.573)","0 (0–0)","5.806 (5.806–5.806)","0 (0–0)","0 (0–0)","0.754 (0.754–0.754)","0 (0–0)","0.139 (0.139–0.139)","0 (0–0)","13.276 (13.276–13.276)","10.532 (10.532–10.532)","1.659 (1.659–1.659)","0 (0–0)","1.222 (1.222–1.222)","0.017 (0.017–0.017)","NaN (Inf–-Inf)","0.257 (0.257–0.257)","0 (0–0)","0 (0–0)","3.901 (3.901–3.901)","0.468 (0.468–0.468)","0.23 (0.23–0.23)","NaN (Inf–-Inf)","408.55 (408.55–408.55)","0 (0–0)","0 (0–0)","4.871 (4.871–4.871)","7.961 (7.961–7.961)","10.98 (10.98–10.98)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","6.387 (6.387–6.387)","0 (0–0)","2.422 (2.422–2.422)","488.741 (488.741–488.741)"
"JU-22","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","4.648 (4.506–4.79)","0 (0–0)","0 (0–0)","5.787 (5.677–5.898)","0 (0–0)","5.804 (5.564–6.044)","0 (0–0)","0 (0–0)","0.721 (0.708–0.734)","0 (0–0)","0.101 (0.097–0.105)","0 (0–0)","12.366 (11.286–13.445)","9.634 (8.657–10.61)","1.559 (1.484–1.634)","0 (0–0)","1.382 (1.177–1.586)","0.032 (0.032–0.032)","NaN (Inf–-Inf)","0.348 (0.347–0.35)","0 (0–0)","0 (0–0)","4.921 (4.44–5.401)","0.394 (0.336–0.452)","0 (0–0)","NaN (Inf–-Inf)","323.81 (289.73–357.89)","0 (0–0)","0 (0–0)","4.534 (3.888–5.181)","7.637 (6.814–8.46)","9.892 (9.187–10.597)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","3.602 (3.221–3.982)","0 (0–0)","3.845 (3.824–3.866)","401.016 (361.721–440.311)"
"KE-02","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.123 (0.123–0.123)","0 (0–0)","8.25 (8.25–8.25)","2.43 (2.43–2.43)","0.224 (0.224–0.224)","0 (0–0)","1.14 (1.14–1.14)","0 (0–0)","0 (0–0)","0.778 (0.778–0.778)","0 (0–0)","0 (0–0)","8.29 (8.29–8.29)","0 (0–0)","0.656 (0.656–0.656)","0 (0–0)","116 (116–116)","0 (0–0)","0 (0–0)","0.627 (0.627–0.627)","2.33 (2.33–2.33)","5.08 (5.08–5.08)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","145.928 (145.928–145.928)"
"KE-08","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.208 (0.2–0.216)","0 (0–0)","8.76 (8.6–8.92)","2.41 (2.37–2.45)","0.608 (0.412–0.804)","0 (0–0)","1.805 (1.74–1.87)","0 (0–0)","0 (0–0)","0.881 (0.88–0.882)","0 (0–0)","0 (0–0)","8.02 (7.79–8.25)","0.044 (0–0.087)","0.498 (0.442–0.553)","0 (0–0)","174 (168–180)","0 (0–0)","0 (0–0)","0.742 (0.738–0.746)","3.995 (2.81–5.18)","6.135 (6.05–6.22)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","208.105 (203.308–212.902)"
"LI-24","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0.828 (0.828–0.828)","NaN (Inf–-Inf)","13.311 (13.311–13.311)","0 (0–0)","0 (0–0)","13.274 (13.274–13.274)","0 (0–0)","3.846 (3.846–3.846)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.184 (0.184–0.184)","0 (0–0)","7.877 (7.877–7.877)","15.41 (15.41–15.41)","1.915 (1.915–1.915)","0 (0–0)","2.793 (2.793–2.793)","0.036 (0.036–0.036)","NaN (Inf–-Inf)","0.499 (0.499–0.499)","0 (0–0)","0 (0–0)","5.104 (5.104–5.104)","0.728 (0.728–0.728)","1.914 (1.914–1.914)","NaN (Inf–-Inf)","442.81 (442.81–442.81)","0 (0–0)","0 (0–0)","4.017 (4.017–4.017)","6.865 (6.865–6.865)","10.408 (10.408–10.408)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.847 (0.847–0.847)","0.828 (0.828–0.828)","2.76 (2.76–2.76)","536.254 (536.254–536.254)"
"LI-30a","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","10.37 (10.207–10.534)","0 (0–0)","0 (0–0)","9.659 (8.947–10.372)","0 (0–0)","3.541 (3.503–3.579)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.15 (0.128–0.172)","0 (0–0)","4.639 (4.462–4.815)","10.624 (10.397–10.851)","0.679 (0.679–0.679)","0 (0–0)","1.088 (1.061–1.116)","0.014 (0–0.028)","NaN (Inf–-Inf)","0.25 (0.219–0.28)","0 (0–0)","0 (0–0)","2.82 (2.629–3.011)","0.2 (0–0.4)","2.015 (1.923–2.107)","NaN (Inf–-Inf)","209.33 (203.36–215.3)","0 (0–0)","0 (0–0)","3.405 (3.271–3.539)","5.576 (5.437–5.715)","6.277 (5.992–6.562)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","2.006 (1.605–2.406)","0 (0–0)","2.433 (1.828–3.037)","274.736 (267.498–281.974)"
"LI-47","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","11.041 (8.726–13.355)","0 (0–0)","0 (0–0)","8.741 (7.731–9.751)","0 (0–0)","4.46 (3.813–5.108)","0 (0–0)","0 (0–0)","0.136 (0.122–0.151)","0 (0–0)","0.083 (0.066–0.1)","0 (0–0)","10 (8.766–11.234)","14.694 (12.479–16.91)","0.994 (0.834–1.153)","0 (0–0)","1.904 (1.732–2.075)","0.02 (0.018–0.021)","NaN (Inf–-Inf)","0.633 (0.562–0.705)","0 (0–0)","0 (0–0)","7.51 (6.673–8.346)","0.51 (0.437–0.584)","1.924 (1.751–2.096)","NaN (Inf–-Inf)","381.29 (328.13–434.45)","0 (0–0)","0 (0–0)","3.013 (2.547–3.478)","5.824 (4.961–6.687)","12.372 (10.984–13.76)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.33 (0.303–0.357)","0 (0–0)","1.149 (0.832–1.465)","466.626 (402.277–530.976)"
"LI31-001","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","31.616 (31.616–31.616)","0 (0–0)","0 (0–0)","13.388 (13.388–13.388)","0 (0–0)","15.505 (15.505–15.505)","0 (0–0)","0 (0–0)","0.426 (0.426–0.426)","0 (0–0)","0.094 (0.094–0.094)","0 (0–0)","6.317 (6.317–6.317)","16.163 (16.163–16.163)","1.53 (1.53–1.53)","0 (0–0)","2.422 (2.422–2.422)","0.029 (0.029–0.029)","NaN (Inf–-Inf)","0.358 (0.358–0.358)","0 (0–0)","0 (0–0)","2.57 (2.57–2.57)","0.757 (0.757–0.757)","0.605 (0.605–0.605)","NaN (Inf–-Inf)","410.11 (410.11–410.11)","0 (0–0)","0 (0–0)","5.803 (5.803–5.803)","8.528 (8.528–8.528)","7.409 (7.409–7.409)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","5.886 (5.886–5.886)","0 (0–0)","10.202 (10.202–10.202)","539.718 (539.718–539.718)"
"LI31-002","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","25.519 (25.519–25.519)","0 (0–0)","0 (0–0)","11.258 (11.258–11.258)","0 (0–0)","14.714 (14.714–14.714)","0 (0–0)","0 (0–0)","0.304 (0.304–0.304)","0 (0–0)","0.078 (0.078–0.078)","0 (0–0)","5.576 (5.576–5.576)","13.173 (13.173–13.173)","0.152 (0.152–0.152)","0 (0–0)","2.456 (2.456–2.456)","0.026 (0.026–0.026)","NaN (Inf–-Inf)","0.34 (0.34–0.34)","0 (0–0)","0 (0–0)","2.421 (2.421–2.421)","0.745 (0.745–0.745)","0.516 (0.516–0.516)","NaN (Inf–-Inf)","408.47 (408.47–408.47)","0 (0–0)","0 (0–0)","4.522 (4.522–4.522)","6.705 (6.705–6.705)","6.264 (6.264–6.264)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","5.231 (5.231–5.231)","0 (0–0)","10.233 (10.233–10.233)","518.703 (518.703–518.703)"
"MC-03b","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","11.9 (11.9–11.9)","3.69 (3.69–3.69)","1.15 (1.15–1.15)","0 (0–0)","1.39 (1.39–1.39)","0 (0–0)","0 (0–0)","1.44 (1.44–1.44)","0 (0–0)","0 (0–0)","8.73 (8.73–8.73)","0.073 (0.073–0.073)","0.243 (0.243–0.243)","0 (0–0)","179 (179–179)","0 (0–0)","0 (0–0)","1.17 (1.17–1.17)","7.96 (7.96–7.96)","8.95 (8.95–8.95)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","225.696 (225.696–225.696)"
"MC-06","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.206 (0.197–0.215)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","21.6 (21.4–21.8)","5.285 (5.27–5.3)","0.875 (0.721–1.03)","0 (0–0)","2.17 (2.15–2.19)","0 (0–0)","0 (0–0)","1.695 (1.44–1.95)","0 (0–0)","0 (0–0)","14.9 (12.9–16.9)","0.098 (0.094–0.102)","0.627 (0.539–0.714)","0 (0–0)","217.5 (200–235)","0 (0–0)","0 (0–0)","1.675 (1.64–1.71)","7.94 (7.25–8.63)","16.3 (15.1–17.5)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","290.871 (277.513–304.229)"
"MC-14","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.116 (0.09–0.143)","0 (0–0)","6.755 (6.52–6.99)","2.945 (2.91–2.98)","1.199 (0.958–1.44)","0 (0–0)","1.61 (1.47–1.75)","0 (0–0)","0 (0–0)","1.745 (1.69–1.8)","0 (0–0)","0 (0–0)","7.9 (7.79–8.01)","0.066 (0.063–0.069)","1.168 (0.847–1.49)","0 (0–0)","136 (128–144)","0 (0–0)","0 (0–0)","1.44 (1.41–1.47)","4.19 (3.63–4.75)","5.63 (5.58–5.68)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","170.765 (162.01–179.52)"
"MC-17","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","9.1 (9.1–9.1)","2.11 (2.11–2.11)","0.761 (0.761–0.761)","0 (0–0)","1.09 (1.09–1.09)","0 (0–0)","0 (0–0)","0.917 (0.917–0.917)","0 (0–0)","0 (0–0)","8.62 (8.62–8.62)","0.044 (0.044–0.044)","0.699 (0.699–0.699)","0 (0–0)","132 (132–132)","0 (0–0)","0 (0–0)","0.714 (0.714–0.714)","4.95 (4.95–4.95)","6.32 (6.32–6.32)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","NaN (Inf–-Inf)","167.325 (167.325–167.325)"
"MR-25","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","0.084 (0–0.168)","0 (0–0)","0 (0–0)","0.214 (0.207–0.22)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.054 (0.05–0.058)","0.036 (0.021–0.052)","8.253 (6.746–9.759)","2.251 (1.878–2.624)","0.72 (0.696–0.745)","0 (0–0)","0.789 (0.677–0.901)","0.022 (0.022–0.023)","NaN (Inf–-Inf)","0.249 (0.222–0.276)","0 (0–0)","0 (0–0)","12.767 (10.064–15.469)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","108.166 (94.702–121.63)","0 (0–0)","0 (0–0)","0.801 (0.736–0.867)","3.593 (3.098–4.088)","8.535 (7.241–9.829)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","146.534 (126.368–166.701)"
"ON-138c","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","0 (0–0)","0.25 (0.236–0.263)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.024 (0–0.049)","0 (0–0)","1.84 (1.773–1.908)","0.639 (0.618–0.661)","0.834 (0.796–0.872)","0 (0–0)","0 (0–0)","0.02 (0.015–0.025)","NaN (Inf–-Inf)","0.211 (0.194–0.227)","0 (0–0)","0 (0–0)","1.266 (1.219–1.312)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","16.848 (16.299–17.397)","0 (0–0)","0 (0–0)","0.08 (0–0.161)","0.57 (0.549–0.59)","2.1 (2.063–2.137)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","24.682 (24.124–25.24)"
"ON-31g","NaN (Inf–-Inf)","0 (0–0)","0 (0–0)","NaN (Inf–-Inf)","0 (0–0)","NaN (Inf–-Inf)","3.055 (3.006–3.105)","0 (0–0)","0 (0–0)","1.5 (1.318–1.681)","0 (0–0)","0.93 (0.573–1.287)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0.254 (0.221–0.287)","0 (0–0)","10.97 (9.664–12.276)","2.855 (2.562–3.148)","0.178 (0.171–0.186)","0.418 (0.24–0.596)","8.757 (7.522–9.992)","0.029 (0.02–0.039)","NaN (Inf–-Inf)","1.472 (1.199–1.744)","0 (0–0)","0 (0–0)","11.924 (9.856–13.993)","0 (0–0)","13.518 (13.441–13.595)","NaN (Inf–-Inf)","419.03 (346.42–491.64)","0 (0–0)","0.016 (0–0.031)","0.579 (0.547–0.61)","1.584 (1.485–1.684)","6.945 (6.098–7.792)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","0 (0–0)","10.945 (8.145–13.746)","0 (0–0)","0.935 (0.841–1.029)","495.895 (415.773–576.017)"
