year,nest_no,n_birds,FTSA8_2_mean,FTSA8_2_sd,FTSA8_2_cv,FTSA8_2_range,FOSA_mean,FOSA_sd,FOSA_cv,FOSA_range,N_ETFOSAA_mean,N_ETFOSAA_sd,N_ETFOSAA_cv,N_ETFOSAA_range,N_MEFOSAA_mean,N_MEFOSAA_sd,N_MEFOSAA_cv,N_MEFOSAA_range,PFBA_mean,PFBA_sd,PFBA_cv,PFBA_range,PFBS_mean,PFBS_sd,PFBS_cv,PFBS_range,PFHPA_mean,PFHPA_sd,PFHPA_cv,PFHPA_range,PFHPS_mean,PFHPS_sd,PFHPS_cv,PFHPS_range,PFDS_mean,PFDS_sd,PFDS_cv,PFDS_range,PFHXS_mean,PFHXS_sd,PFHXS_cv,PFHXS_range,PFNS_mean,PFNS_sd,PFNS_cv,PFNS_range,PFHXA_mean,PFHXA_sd,PFHXA_cv,PFHXA_range,PFDA_mean,PFDA_sd,PFDA_cv,PFDA_range,PFDOA_mean,PFDOA_sd,PFDOA_cv,PFDOA_range,PFNA_mean,PFNA_sd,PFNA_cv,PFNA_range,PFOA_mean,PFOA_sd,PFOA_cv,PFOA_range,PFOS_mean,PFOS_sd,PFOS_cv,PFOS_range,PFPES_mean,PFPES_sd,PFPES_cv,PFPES_range,PFTEDA_mean,PFTEDA_sd,PFTEDA_cv,PFTEDA_range,PFTRDA_mean,PFTRDA_sd,PFTRDA_cv,PFTRDA_range,PFUNDA_mean,PFUNDA_sd,PFUNDA_cv,PFUNDA_range
2024,KE-08,2,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0.208,0.011313708,0.054392829,0.016,0,0,NA,0,0,0,NA,0,1.805,0.091923882,0.050927358,0.13,0.608,0.277185858,0.455897793,0.392,0.881,0.001414214,0.001605237,0.002,0.0435,0.06151829,1.414213562,0.087,0,0,NA,0,8.76,0.22627417,0.025830385,0.32,2.41,0.056568542,0.023472424,0.08,8.02,0.325269119,0.040557247,0.46,0.4975,0.078488853,0.157766538,0.111,174,8.485281374,0.048765985,12,0,0,NA,0,0.742,0.005656854,0.007623793,0.008,3.995,1.675843071,0.419485124,2.37,6.135,0.120208153,0.019593831,0.17
2024,MC-06,2,0,0,NA,0,0.206,0.012727922,0.061786029,0.018,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,2.17,0.028284271,0.013034226,0.04,0.8755,0.218495995,0.249567099,0.309,1.695,0.360624458,0.212757793,0.51,0.098,0.005656854,0.057723003,0.008,0,0,NA,0,21.6,0.282842712,0.01309457,0.4,5.285,0.021213203,0.004013851,0.03,14.9,2.828427125,0.189827324,4,0.6265,0.123743687,0.197515861,0.175,217.5,24.74873734,0.113787298,35,0,0,NA,0,1.675,0.049497475,0.029550731,0.07,7.94,0.975807358,0.122897652,1.38,16.3,1.697056275,0.104113882,2.4
2024,MC-14,2,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0.1165,0.037476659,0.321688064,0.053,0,0,NA,0,0,0,NA,0,1.61,0.197989899,0.122975092,0.28,1.199,0.340825469,0.284258106,0.482,1.745,0.077781746,0.044574066,0.11,0.066,0.004242641,0.064282435,0.006,0,0,NA,0,6.755,0.332340187,0.049199139,0.47,2.945,0.049497475,0.016807292,0.07,7.9,0.155563492,0.019691581,0.22,1.1685,0.45466966,0.3891054,0.643,136,11.3137085,0.083189033,16,0,0,NA,0,1.44,0.042426407,0.029462783,0.06,4.19,0.791959595,0.189011836,1.12,5.63,0.070710678,0.012559623,0.1
2025,AD-13a,3,8.106,1.582005373,0.195164739,3.129,6.083666667,1.31958112,0.216905559,2.351,6.005666667,0.530153123,0.088275482,0.987,0.678,0.169186288,0.249537298,0.328,0.167,0.002,0.011976048,0.004,0,0,NA,0,0,0,NA,0,3.247333333,0.705502185,0.217255857,1.26,1.518,0.336090762,0.221403664,0.671,0.677333333,0.1224636,0.180802559,0.216,0.497666667,0.108886791,0.218794624,0.192,0.022333333,0.00321455,0.143935086,0.006,12.60833333,2.189992085,0.173694019,3.95,8.241666667,1.159227473,0.140654496,2.115,4.948666667,0.847096413,0.171176697,1.659,0.528333333,0.158790218,0.300549309,0.294,445.07,78.35826759,0.1760583,146.79,0,0,NA,0,3.348333333,0.576521754,0.172181709,1.058,5.996666667,0.8041053,0.134092046,1.566,9.739,1.511436734,0.155194243,2.717
2025,CO-03,2,2.917,0.130107648,0.044603239,0.184,2.726,0.012727922,0.004669084,0.018,1.6765,0.263750829,0.157322296,0.373,0.204,0.029698485,0.145580808,0.042,0.066,0.007071068,0.107137391,0.01,0,0,NA,0,0,0,NA,0,0.806,0.114551299,0.142123199,0.162,0.4705,0.012020815,0.025549023,0.017,0.295,0.007071068,0.023969721,0.01,0.367,0.007071068,0.019267215,0.01,0.017,0.001414214,0.083189033,0.002,8.4415,0.234052345,0.027726393,0.331,7.2275,0.181726443,0.025143749,0.257,2.0195,0.376887914,0.18662437,0.533,0,0,NA,0,257.175,2.425376259,0.00943084,3.43,0,0,NA,0,1.477,0.032526912,0.022022283,0.046,3.809,0.066468037,0.017450259,0.094,8.621,0.354967604,0.04117476,0.502
2025,CR-09a,2,1.059,0.049497475,0.046739825,0.07,0.985,0.213546248,0.216798221,0.302,0.3895,0.088388348,0.226927722,0.125,0,0,NA,0,0.0895,0.013435029,0.150112054,0.019,0,0,NA,0,0,0,NA,0,0.804,0.188090404,0.233943288,0.266,1.9735,2.36810061,1.199949638,3.349,0.7955,0.113844192,0.143110235,0.161,0,0,NA,0,0.014,0.01979899,1.414213562,0.028,4.2195,0.869034234,0.205956685,1.229,2.6625,0.236880772,0.088969304,0.335,2.8955,0.695085966,0.240057319,0.983,0,0,NA,0,163.845,24.20426512,0.147726602,34.23,0,0,NA,0,0.813,0.072124892,0.088714504,0.102,1.871,0.127279221,0.068027376,0.18,3.954,0.6986215,0.176687279,0.988
2025,DO-07a,3,0.459333333,0.063002645,0.137161057,0.112,0.715,0.137043789,0.191669634,0.274,0.121333333,0.106006289,0.873678207,0.196,0,0,NA,0,0.074333333,0.00305505,0.041099334,0.006,0,0,NA,0,0,0,NA,0,0.092,0.159348674,1.732050808,0.276,0.231666667,0.059138256,0.255273048,0.116,0.147,0.014106736,0.09596419,0.028,0,0,NA,0,0,0,NA,0,4.078,0.798481684,0.195802277,1.465,0.976,0.231352545,0.237041542,0.458,3.895,0.594275189,0.152573861,1.185,0,0,NA,0,42.28566667,7.45549008,0.176312464,14.507,0,0,NA,0,0.297333333,0.034818577,0.117102839,0.068,0.998666667,0.205582911,0.205857388,0.371,3.648,0.674789597,0.184975218,1.183
2025,GR-10a,2,2.2535,0.335875721,0.149046249,0.475,1.817,0.171119841,0.094177128,0.242,0.701,0.0834386,0.11902796,0.118,0,0,NA,0,0.0725,0.010606602,0.146297955,0.015,0,0,NA,0,0,0,NA,0,0.7485,0.071417785,0.095414542,0.101,1.5985,1.424820164,0.891348242,2.015,0.3615,0.057275649,0.158438864,0.081,0.145,0.205060967,1.414213562,0.29,0.024,0.004242641,0.176776695,0.006,6.1595,0.464569155,0.075423193,0.657,3.0195,0.320319372,0.106083581,0.453,1.958,0.151320851,0.077283376,0.214,0,0,NA,0,196.415,34.47145558,0.175503172,48.75,0,0,NA,0,0.747,0.024041631,0.032184244,0.034,1.7745,0.109601551,0.061764751,0.155,4.9905,0.386787409,0.077504741,0.547
2025,GR-91a,2,1.903,0.093338095,0.049047869,0.132,1.595,0.22627417,0.141864683,0.32,0.538,0.084852814,0.157718985,0.12,0,0,NA,0,0.043,0.008485281,0.197332125,0.012,0,0,NA,0,0,0,NA,0,0.6425,0.096873629,0.150776076,0.137,1.3315,1.19288914,0.895898716,1.687,0.373,0.045254834,0.121326633,0.064,0,0,NA,0,0.0165,0.00212132,0.128564869,0.003,5.767,0.523259018,0.090733313,0.74,2.974,0.131521861,0.044223894,0.186,2.1935,0.161927453,0.073821497,0.229,0,0,NA,0,182.485,22.46478244,0.123104816,31.77,0,0,NA,0,0.8005,0.019091883,0.023849948,0.027,2.044,0.239002092,0.116928616,0.338,5.3085,0.337289935,0.06353771,0.477
2025,IO-20,3,2.243333333,0.287889446,0.128331105,0.559,1.631,0.091929321,0.056363777,0.171,1.023333333,0.193779084,0.189360668,0.341,0.040333333,0.069859383,1.732050808,0.121,0.101666667,0.076166484,0.749178534,0.14,0,0,NA,0,0,0,NA,0,0.932333333,0.077390783,0.083007633,0.136,2.938666667,1.816767,0.618228335,3.358,0.428666667,0.028005952,0.065332702,0.049,0.098333333,0.170318329,1.732050808,0.295,0.022,0.021517435,0.978065218,0.043,8.411666667,0.246901465,0.029352264,0.489,4.101,0.115883562,0.028257391,0.227,2.944333333,0.142738689,0.04847912,0.267,0.090666667,0.157039273,1.732050808,0.272,259.9833333,10.12641266,0.038950238,18.58,0,0,NA,0,1.096333333,0.048003472,0.043785472,0.091,2.291,0.016522712,0.007212009,0.033,7.033,0.099181652,0.014102325,0.195
